timestamp,temp_c,fan_pct,power_w,gpu_util_pct,memory_used_mib
2026/08/09 02:51:29.019, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:30.022, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:31.025, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:32.028, 34, [N/A], 36.58, 0, 26198
2026/08/09 02:51:33.035, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:34.038, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:35.041, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:36.044, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:37.047, 34, [N/A], 36.58, 0, 26198
2026/08/09 02:51:38.050, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:39.053, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:40.055, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:41.058, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:42.061, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:43.064, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:44.067, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:45.073, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:46.075, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:47.079, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:48.081, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:49.084, 34, [N/A], 36.49, 0, 26198
2026/08/09 02:51:50.087, 34, [N/A], 36.49, 0, 26198
2026/08/09 02:51:51.090, 34, [N/A], 36.49, 0, 26198
2026/08/09 02:51:52.093, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:53.096, 34, [N/A], 36.49, 0, 26198
2026/08/09 02:51:54.099, 34, [N/A], 36.49, 0, 26198
2026/08/09 02:51:55.101, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:56.104, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:51:57.107, 34, [N/A], 36.49, 0, 26198
2026/08/09 02:51:58.110, 34, [N/A], 36.49, 0, 26198
2026/08/09 02:51:59.113, 34, [N/A], 36.49, 0, 26198
2026/08/09 02:52:00.116, 34, [N/A], 36.49, 0, 26198
2026/08/09 02:52:01.119, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:52:02.122, 34, [N/A], 36.58, 0, 26198
2026/08/09 02:52:03.127, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:52:04.130, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:52:05.133, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:52:06.136, 34, [N/A], 36.49, 0, 26198
2026/08/09 02:52:07.139, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:52:08.142, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:52:09.144, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:52:10.147, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:52:11.151, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:52:12.154, 34, [N/A], 36.49, 0, 26198
2026/08/09 02:52:13.157, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:52:14.160, 34, [N/A], 36.49, 0, 26198
2026/08/09 02:52:15.163, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:52:16.166, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:52:17.169, 34, [N/A], 36.49, 0, 26198
2026/08/09 02:52:18.172, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:52:19.175, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:52:20.178, 34, [N/A], 36.49, 0, 26198
2026/08/09 02:52:21.181, 34, [N/A], 36.49, 0, 26198
2026/08/09 02:52:22.187, 34, [N/A], 36.49, 0, 26198
2026/08/09 02:52:23.190, 34, [N/A], 36.48, 0, 26198
2026/08/09 02:52:24.193, 34, [N/A], 36.58, 13, 27056
2026/08/09 02:52:25.196, 34, [N/A], 36.48, 0, 27148
2026/08/09 02:52:26.198, 34, [N/A], 36.48, 0, 27148
2026/08/09 02:52:27.201, 34, [N/A], 36.48, 0, 27148
2026/08/09 02:52:28.204, 34, [N/A], 36.48, 0, 27148
2026/08/09 02:52:29.207, 34, [N/A], 36.48, 0, 27148
2026/08/09 02:52:30.210, 34, [N/A], 36.48, 0, 27148
2026/08/09 02:52:31.213, 34, [N/A], 36.58, 0, 27148
2026/08/09 02:52:32.215, 34, [N/A], 36.49, 0, 27148
